P. Name,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),
GJ 758 b,non-habitable,14307.3,14307.3,9.5,0.000122626,0.000363109,0.001577339,
GJ 785 b,non-habitable,16.91,16.91,4.4,2.2218,2.860967,3.747771,
GJ 785 c,non-habitable,24.16,24.16,4.95,0.1197583,0.2201949,0.4511591,
GJ 832 b,non-habitable,219.08,219.08,9.54,0.001715767,0.002007557,0.002364274,
GJ 832 c,mesoplanet,5.4,5.4,1.69,0.9315086,0.9886534,1.05028,
GJ 849 b,non-habitable,286.15,286.15,10.07,0.002521107,0.002582131,0.002645046,
GJ 849 c,non-habitable,244.81,244.81,9.77,0.000298914,0.000454293,0.000725019,
GJ 876 b,non-habitable,616.17,616.17,11.23,0.3374618,0.3374619,0.3374619,
GJ 876 c,non-habitable,272.16,272.16,9.98,0.8685535,0.8720312,0.8755281,
GJ 876 d,non-habitable,6.99,6.99,1.81,28.95018,33.93901,40.05334,
GJ 876 e,non-habitable,14.31,14.31,4.16,0.1138234,0.1313898,0.1524902,
GJ 1132 b,non-habitable,,1.62,1.15,18.53447,18.53447,18.53447,
GJ 1132 c,non-habitable,2.64,2.64,1.39,1.203076,2.014862,3.640508,
GJ 1214 b,non-habitable,,6.46,2.67,10.93212,18.30866,33.08059,
GJ 3021 b,non-habitable,1071.46,1071.46,11.61,1.249225,3.316921,11.92351,
GJ 3138 b,non-habitable,4.2,4.2,1.58,10.69665,13.25849,16.63683,
GJ 3138 c,non-habitable,1.78,1.78,1.24,77.91904,112.3704,168.1503,
GJ 3138 d,non-habitable,10.49,10.49,3.75,0.05044841,0.09275752,0.1900516,
GJ 3293 b,non-habitable,23.55,23.55,4.91,0.9148337,1.029704,1.163251,
GJ 3293 c,non-habitable,21.1,21.1,4.73,0.1310833,0.1624776,0.2038777,
GJ 3293 d,psychroplanet,7.63,7.63,1.85,0.4476868,0.5656049,0.7251003,
GJ 3293 e,non-habitable,3.27,3.27,1.47,2.141834,3.206822,5.02373,
GJ 3323 b,mesoplanet,2.02,2.02,1.28,0.776563,1.207001,1.981179,
GJ 3323 c,non-habitable,2.31,2.31,1.34,0.0578602,0.08036305,0.1149561,
GJ 3341 b,non-habitable,6.6,6.6,1.78,2.13124,3.846028,7.680214,
GJ 3470 b,non-habitable,,13.91,4.19,36.02943,36.02943,36.02944,
GJ 3634 b,non-habitable,8.27,8.27,1.89,20.8285,24.37066,28.70102,
GJ 3942 b,non-habitable,7.15,7.15,1.82,16.07219,20.34426,26.13733,
GJ 3998 b,non-habitable,2.47,2.47,1.36,49.15769,49.1577,49.15771,
GJ 3998 c,non-habitable,6.26,6.26,1.76,4.743261,5.22552,5.770939,
GJ 9827 b,non-habitable,,8.2,1.64,279.953,279.953,279.9531,
