P. Name,P. Composition Class,P. Habitable Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU)
HAT-P-35 b,gas,non-habitable,333.57,335.11,14.92
HAT-P-36 b,gas,non-habitable,581.56,582.47,14.16
HAT-P-37 b,gas,non-habitable,371.06,371.67,13.19
HAT-P-38 b,gas,non-habitable,,84.89,9.24
HAT-P-39 b,gas,non-habitable,190.23,190.45,17.6
HAT-P-40 b,gas,non-habitable,195.53,195.53,19.38
HAT-P-41 b,gas,non-habitable,252.56,254.35,18.87
HAT-P-42 b,gas,non-habitable,309.94,309.99,14.3
HAT-P-43 b,gas,non-habitable,209.19,209.84,14.37
HAT-P-44 b,gas,non-habitable,,124.63,14.34
HAT-P-44 c,gas,non-habitable,508.7,508.7,11
HAT-P-45 b,gas,non-habitable,249.94,283.6,15.97
HAT-P-46 b,gas,non-habitable,123.85,156.74,14.38
HAT-P-46 c,gas,non-habitable,635.88,635.88,11.26
HAT-P-47 b,gas,non-habitable,,65.5,14.71
HAT-P-48 b,gas,non-habitable,,53.41,12.67
HAT-P-49 b,gas,non-habitable,,550.04,15.83
HAT-P-50 b,gas,non-habitable,,432.4,14.43
HAT-P-51 b,gas,non-habitable,,98.24,14.48
HAT-P-52 b,gas,non-habitable,260.28,260.39,11.3
HAT-P-53 b,gas,non-habitable,472.72,472.78,14.76
HAT-P-54 b,gas,non-habitable,241.53,241.63,10.57
HAT-P-55 b,gas,non-habitable,,185.04,13.24
HAT-P-56 b,gas,non-habitable,698.24,699.47,16.42
HAT-P-57 b,gas,non-habitable,,588.19,15.83
HAT-P-65 b,gas,non-habitable,167.49,167.55,21.17
HAT-P-66 b,gas,non-habitable,,248.95,17.81
HAT-P-67 b,gas,non-habitable,,108.1,23.35
HATS-1 b,gas,non-habitable,,589.78,14.58
HATS-2 b,gas,non-habitable,,427.63,13.08
HATS-3 b,gas,non-habitable,,340.51,15.47
HATS-4 b,gas,non-habitable,,420.63,11.42
HATS-5 b,gas,non-habitable,,75.35,10.21
HATS-6 b,gas,non-habitable,,101.42,11.18
HATS-7 b,gas,non-habitable,,38.15,6.31
HATS-8 b,gas,non-habitable,43.78,43.88,9.78
HATS-9 b,gas,non-habitable,,266.75,11.93
HATS-10 b,gas,non-habitable,,167.24,10.85
HATS-11 b,gas,non-habitable,270.21,270.25,16.91
HATS-12 b,gas,non-habitable,763.03,763.06,15.12
HATS-13 b,gas,non-habitable,172.6,172.64,13.57
HATS-14 b,gas,non-habitable,340.5,340.51,11.64
HATS-15 b,gas,non-habitable,689.89,689.93,12.38
HATS-16 b,gas,non-habitable,,1039.66,14.56
HATS-17 b,gas,non-habitable,425.12,425.4,8.7
HATS-18 b,gas,non-habitable,629.14,629.52,14.97
HATS-19 b,gas,non-habitable,135.74,135.76,18.59
HATS-20 b,gas,non-habitable,86.48,86.8,8.69
HATS-21 b,gas,non-habitable,,105.56,12.58
HATS-22 b,gas,non-habitable,,871.16,10.67
HATS-23 b,gas,non-habitable,462.71,467.37,20.83
HATS-24 b,gas,non-habitable,775.77,775.77,16.65
HATS-25 b,gas,non-habitable,,194.9,14.11
HATS-26 b,gas,non-habitable,,206.66,19.6
HATS-27 b,gas,non-habitable,,168.51,16.8
HATS-28 b,gas,non-habitable,213.24,213.66,13.37
HATS-29 b,gas,non-habitable,,207.61,14.01
HATS-30 b,gas,non-habitable,,224.47,13.16
HATS-31 b,gas,non-habitable,,279.79,18.37
HATS-32 b,gas,non-habitable,292.41,292.5,13.99
HATS-33 b,gas,non-habitable,370.09,378.98,13.78
HATS-34 b,gas,non-habitable,,299.18,16.02
HATS-35 b,gas,non-habitable,,388.52,16.4
HATS-36 b,gas,non-habitable,886.81,887.05,14.15
HATS-39 b,gas,non-habitable,194.75,200.3,17.58
HATS-40 b,gas,non-habitable,505.37,505.52,17.7
HATS-41 b,gas,non-habitable,3083.44,3084.02,14.9
HATS-42 b,gas,non-habitable,597.59,597.73,15.68
HATS-43 b,gas,non-habitable,82.98,82.98,13.22
HATS-44 b,gas,non-habitable,178.01,178.05,11.95
HATS-45 b,gas,non-habitable,222.52,222.56,14.4
HATS-46 b,gas,non-habitable,55,55,10.11
HATS-50 b,gas,non-habitable,123.99,124,12.66
HATS-51 b,gas,non-habitable,244.17,244.18,15.79
HATS-52 b,gas,non-habitable,,712.19,15.48
HATS-53 b,gas,non-habitable,94.87,189.17,15.01
HATS-59 b,gas,non-habitable,,256.26,12.61
HATS-59 c,gas,non-habitable,4037.84,4037.84,11.42
HD 142 b,gas,non-habitable,397.42,397.43,10.65
HD 142 c,gas,non-habitable,1685.08,1685.08,11.68
HD 564 b,gas,non-habitable,104.92,104.92,7.9
HD 984 b,,non-habitable,20666.1,20666.1,
HD 1160 b,,non-habitable,25117.26,25117.26,
HD 1461 b,rocky-iron,non-habitable,6.45,6.45,1.77
HD 1461 c,rocky-iron,non-habitable,5.6,5.6,1.71
HD 1502 b,gas,non-habitable,985.61,985.61,11.58
HD 1605 b,gas,non-habitable,305.22,305.22,10.19
HD 1605 c,gas,non-habitable,1106.43,1106.43,11.62
HD 1666 b,gas,non-habitable,2044.35,2044.35,11.68
HD 1690 b,gas,non-habitable,1939.43,1939.43,11.68
HD 2039 b,gas,non-habitable,1942.61,1942.61,11.68
HD 2638 b,gas,non-habitable,,152.61,11.65
HD 2952 b,gas,non-habitable,508.7,508.7,11
HD 3167 b,rocky-iron,non-habitable,,5.02,1.7
HD 3167 c,water-gas,non-habitable,,9.79,3.01
HD 3167 d,rocky-iron,non-habitable,6.9,6.9,1.8
HD 3651 b,gas,non-habitable,73.44,73.44,7.11
